cod_venda,data_venda,cod_vendedor,cod_produto,quantidade,valor_unitario
71,2015-09-09 00:00:00.000,34,10,1,749
71,2015-09-09 00:00:00.000,34,103,1,2599
72,2015-12-30 00:00:00.000,30,23,1,649
72,2015-12-30 00:00:00.000,30,64,1,999
73,2015-05-22 00:00:00.000,16,35,1,2499
73,2015-05-22 00:00:00.000,16,105,1,119.9
74,2015-03-01 00:00:00.000,29,80,1,549
74,2015-03-01 00:00:00.000,29,86,1,499
75,2015-02-07 00:00:00.000,9,109,1,79.9
76,2015-06-24 00:00:00.000,27,32,1,3099
76,2015-06-24 00:00:00.000,27,65,1,2999
77,2015-05-17 00:00:00.000,22,25,1,599
77,2015-05-17 00:00:00.000,22,52,1,1999
78,2015-01-04 00:00:00.000,31,41,1,44.9
78,2015-01-04 00:00:00.000,31,101,1,2399
79,2015-04-17 00:00:00.000,15,61,1,299
80,2015-12-13 00:00:00.000,1,44,1,399
80,2015-12-13 00:00:00.000,1,99,1,1199
81,2015-03-13 00:00:00.000,21,19,1,999
81,2015-03-13 00:00:00.000,21,64,1,999
82,2015-06-17 00:00:00.000,15,16,1,999
83,2015-07-23 00:00:00.000,14,72,1,2099
83,2015-07-23 00:00:00.000,14,107,1,99.9
84,2015-01-28 00:00:00.000,17,67,1,3190
84,2015-01-28 00:00:00.000,17,113,1,49.9
85,2015-11-03 00:00:00.000,17,44,1,399
86,2015-10-23 00:00:00.000,32,81,1,799
87,2015-09-08 00:00:00.000,13,45,1,199
87,2015-09-08 00:00:00.000,13,111,1,219
88,2015-12-05 00:00:00.000,13,65,1,2999
89,2015-06-08 00:00:00.000,20,24,1,1099
89,2015-06-08 00:00:00.000,20,73,1,3999
90,2015-08-17 00:00:00.000,4,43,1,24.9
91,2015-10-10 00:00:00.000,13,94,1,849
92,2015-03-05 00:00:00.000,16,73,1,3999
93,2015-12-12 00:00:00.000,10,71,1,3699
93,2015-12-12 00:00:00.000,10,106,1,449.9
94,2015-01-10 00:00:00.000,35,37,1,74.9
94,2015-01-10 00:00:00.000,35,56,1,599
95,2015-12-21 00:00:00.000,16,57,1,699
96,2015-05-19 00:00:00.000,12,28,1,939
97,2015-08-27 00:00:00.000,30,50,1,349
97,2015-08-27 00:00:00.000,30,51,1,449
98,2015-12-09 00:00:00.000,27,4,1,1599
98,2015-12-09 00:00:00.000,27,38,1,54.9
99,2015-01-18 00:00:00.000,11,12,1,1149
100,2015-09-07 00:00:00.000,28,44,1,399
101,2015-09-23 00:00:00.000,9,5,1,1899
101,2015-09-23 00:00:00.000,9,62,1,499
102,2015-05-12 00:00:00.000,4,70,1,3399
103,2015-03-22 00:00:00.000,9,15,1,1349
104,2015-09-14 00:00:00.000,23,85,1,539
105,2015-02-04 00:00:00.000,20,42,1,32.9
105,2015-02-04 00:00:00.000,20,88,1,7999
106,2015-11-10 00:00:00.000,26,24,1,1099
106,2015-11-10 00:00:00.000,26,25,1,599
107,2015-05-27 00:00:00.000,34,92,1,899
108,2015-08-18 00:00:00.000,5,28,1,939
109,2015-12-06 00:00:00.000,2,28,1,939
109,2015-12-06 00:00:00.000,2,67,1,3190
110,2015-02-18 00:00:00.000,31,66,1,3199
111,2015-08-13 00:00:00.000,20,47,1,129
112,2015-07-29 00:00:00.000,6,84,1,429
112,2015-07-29 00:00:00.000,6,85,1,539
113,2015-07-07 00:00:00.000,31,2,1,1399
113,2015-07-07 00:00:00.000,31,82,1,429
114,2015-05-19 00:00:00.000,10,9,1,849
114,2015-05-19 00:00:00.000,10,83,1,479
115,2015-10-07 00:00:00.000,17,93,1,899
116,2015-09-21 00:00:00.000,25,64,1,999
117,2015-10-04 00:00:00.000,5,82,1,429
118,2015-10-02 00:00:00.000,1,42,1,32.9
118,2015-10-02 00:00:00.000,1,53,1,999
119,2015-09-21 00:00:00.000,13,4,1,1599
120,2015-11-12 00:00:00.000,6,68,1,2999
121,2015-05-29 00:00:00.000,7,14,1,1099
122,2015-02-02 00:00:00.000,24,73,1,3999
122,2015-02-02 00:00:00.000,24,94,1,849
123,2015-04-18 00:00:00.000,19,91,1,1399
124,2015-05-05 00:00:00.000,20,108,1,69.9
125,2015-06-27 00:00:00.000,15,100,1,4499
126,2015-03-29 00:00:00.000,7,57,1,699
127,2015-06-08 00:00:00.000,23,65,1,2999
128,2015-02-21 00:00:00.000,18,44,1,399
128,2015-02-21 00:00:00.000,18,63,1,3699
129,2015-05-04 00:00:00.000,19,3,1,1299
129,2015-05-04 00:00:00.000,19,31,1,1599
130,2015-09-25 00:00:00.000,33,37,1,74.9
130,2015-09-25 00:00:00.000,33,74,1,3599
131,2015-11-03 00:00:00.000,26,53,1,999
132,2015-05-29 00:00:00.000,35,3,1,1299
132,2015-05-29 00:00:00.000,35,27,1,429
133,2015-11-18 00:00:00.000,18,29,1,299
133,2015-11-18 00:00:00.000,18,31,1,1599
134,2015-06-14 00:00:00.000,23,11,1,1149
134,2015-06-14 00:00:00.000,23,91,1,1399
135,2015-10-10 00:00:00.000,33,113,1,49.9
136,2015-11-12 00:00:00.000,16,80,1,549
137,2015-10-01 00:00:00.000,29,40,1,29.9
137,2015-10-01 00:00:00.000,29,95,1,1199
138,2015-07-19 00:00:00.000,24,17,1,1099
139,2015-04-03 00:00:00.000,29,58,1,329
140,2015-07-25 00:00:00.000,31,31,1,1599
140,2015-07-25 00:00:00.000,31,98,1,349.9
141,2015-09-22 00:00:00.000,28,79,1,979
142,2015-12-26 00:00:00.000,12,57,1,699
142,2015-12-26 00:00:00.000,12,73,1,3999
143,2015-11-24 00:00:00.000,2,70,1,3399
144,2015-03-28 00:00:00.000,29,3,1,1299
145,2015-11-18 00:00:00.000,5,72,1,2099
145,2015-11-18 00:00:00.000,5,99,1,1199
146,2015-10-07 00:00:00.000,14,1,1,869
146,2015-10-07 00:00:00.000,14,55,1,349
147,2015-01-31 00:00:00.000,35,32,1,3099
147,2015-01-31 00:00:00.000,35,112,1,139
148,2015-01-01 00:00:00.000,21,111,1,219
149,2015-12-04 00:00:00.000,6,3,1,1299
150,2015-10-13 00:00:00.000,17,20,1,999
150,2015-10-13 00:00:00.000,17,57,1,699
151,2015-06-26 00:00:00.000,5,42,1,32.9
152,2015-07-29 00:00:00.000,18,23,1,649
153,2015-03-08 00:00:00.000,34,21,1,1399
154,2015-06-20 00:00:00.000,1,27,1,429
154,2015-06-20 00:00:00.000,1,93,1,899
155,2015-08-19 00:00:00.000,13,92,1,899
155,2015-08-19 00:00:00.000,13,104,1,2150
156,2015-05-23 00:00:00.000,9,13,1,1899
156,2015-05-23 00:00:00.000,9,109,1,79.9
157,2015-05-28 00:00:00.000,34,18,1,1199
158,2015-05-16 00:00:00.000,5,7,1,1899
158,2015-05-16 00:00:00.000,5,65,1,2999
159,2015-08-25 00:00:00.000,25,41,1,44.9
159,2015-08-25 00:00:00.000,25,51,1,449
160,2015-01-29 00:00:00.000,16,39,1,32.9
161,2015-07-10 00:00:00.000,31,5,1,1899
161,2015-07-10 00:00:00.000,31,58,1,329
162,2015-02-07 00:00:00.000,18,78,1,549
163,2015-09-04 00:00:00.000,32,54,1,399
164,2015-02-10 00:00:00.000,28,5,1,1899
164,2015-02-10 00:00:00.000,28,46,1,119
165,2015-11-18 00:00:00.000,2,111,1,219
166,2015-10-05 00:00:00.000,15,112,1,139
167,2015-01-15 00:00:00.000,14,1,1,869
168,2015-12-14 00:00:00.000,9,22,1,699
168,2015-12-14 00:00:00.000,9,108,1,69.9
169,2015-05-03 00:00:00.000,26,87,1,4599
169,2015-05-03 00:00:00.000,26,93,1,899
170,2015-02-02 00:00:00.000,20,17,1,1099
170,2015-02-02 00:00:00.000,20,54,1,399
171,2015-10-04 00:00:00.000,29,38,1,54.9
172,2015-02-03 00:00:00.000,10,60,1,589
172,2015-02-03 00:00:00.000,10,111,1,219
173,2015-12-30 00:00:00.000,31,12,1,1149
173,2015-12-30 00:00:00.000,31,114,1,399
174,2015-06-28 00:00:00.000,31,12,1,1149
174,2015-06-28 00:00:00.000,31,64,1,999
175,2015-02-08 00:00:00.000,30,46,1,119
176,2015-11-10 00:00:00.000,20,20,1,999
177,2015-04-10 00:00:00.000,28,108,1,69.9
178,2015-04-05 00:00:00.000,28,91,1,1399
178,2015-04-05 00:00:00.000,28,108,1,69.9
179,2015-05-31 00:00:00.000,22,3,1,1299
180,2015-04-28 00:00:00.000,30,1,1,869
180,2015-04-28 00:00:00.000,30,39,1,32.9
181,2015-01-21 00:00:00.000,6,113,1,49.9
182,2015-04-04 00:00:00.000,17,65,1,2999
183,2015-09-07 00:00:00.000,13,78,1,549
184,2015-09-16 00:00:00.000,29,10,1,749
185,2015-03-29 00:00:00.000,3,58,1,329
186,2015-08-21 00:00:00.000,12,27,1,429
186,2015-08-21 00:00:00.000,12,70,1,3399
187,2015-03-19 00:00:00.000,9,82,1,429
188,2015-04-12 00:00:00.000,23,16,1,999
188,2015-04-12 00:00:00.000,23,81,1,799
189,2015-11-15 00:00:00.000,5,68,1,2999
190,2015-06-21 00:00:00.000,4,73,1,3999
191,2015-10-02 00:00:00.000,13,67,1,3190
192,2015-11-15 00:00:00.000,21,42,1,32.9
192,2015-11-15 00:00:00.000,21,91,1,1399
193,2015-12-02 00:00:00.000,14,16,1,999
194,2015-01-15 00:00:00.000,34,4,1,1599
195,2015-04-22 00:00:00.000,31,92,1,899
196,2015-03-18 00:00:00.000,14,110,1,49.9
197,2015-05-31 00:00:00.000,20,82,1,429
198,2015-06-02 00:00:00.000,3,59,1,329
198,2015-06-02 00:00:00.000,3,75,1,6999
199,2015-07-30 00:00:00.000,27,40,1,29.9
199,2015-07-30 00:00:00.000,27,111,1,219
200,2015-03-26 00:00:00.000,28,3,1,1299
200,2015-03-26 00:00:00.000,28,28,1,939
201,2015-10-04 00:00:00.000,8,20,1,999
201,2015-10-04 00:00:00.000,8,79,1,979
202,2015-08-24 00:00:00.000,34,27,1,429
202,2015-08-24 00:00:00.000,34,103,1,2599
203,2015-03-27 00:00:00.000,18,82,1,429
204,2015-09-11 00:00:00.000,22,68,1,2999
205,2015-12-10 00:00:00.000,24,6,1,1799
205,2015-12-10 00:00:00.000,24,51,1,449
206,2015-04-16 00:00:00.000,19,73,1,3999
207,2015-03-11 00:00:00.000,1,94,1,849
208,2015-06-06 00:00:00.000,26,61,1,299
208,2015-06-06 00:00:00.000,26,105,1,119.9
209,2015-10-22 00:00:00.000,33,87,1,4599
209,2015-10-22 00:00:00.000,33,111,1,219
210,2015-04-26 00:00:00.000,21,39,1,32.9
210,2015-04-26 00:00:00.000,21,89,1,9999
211,2015-01-31 00:00:00.000,31,3,1,1299
211,2015-01-31 00:00:00.000,31,58,1,329
212,2015-02-05 00:00:00.000,21,3,1,1299
213,2015-04-14 00:00:00.000,30,23,1,649
213,2015-04-14 00:00:00.000,30,69,1,2200
214,2015-07-14 00:00:00.000,3,3,1,1299
214,2015-07-14 00:00:00.000,3,101,1,2399
215,2015-01-29 00:00:00.000,30,4,1,1599
216,2015-03-22 00:00:00.000,24,103,1,2599
217,2015-09-30 00:00:00.000,12,31,1,1599
217,2015-09-30 00:00:00.000,12,46,1,119
218,2015-06-20 00:00:00.000,2,54,1,399
219,2015-03-11 00:00:00.000,9,4,1,1599
220,2015-04-15 00:00:00.000,4,28,1,939
220,2015-04-15 00:00:00.000,4,32,1,3099
221,2015-07-17 00:00:00.000,14,50,1,349
221,2015-07-17 00:00:00.000,14,92,1,899
222,2015-01-14 00:00:00.000,20,20,1,999
222,2015-01-14 00:00:00.000,20,45,1,199
223,2015-10-08 00:00:00.000,1,53,1,999
224,2015-12-22 00:00:00.000,7,5,1,1899
224,2015-12-22 00:00:00.000,7,80,1,549
225,2015-08-09 00:00:00.000,22,107,1,99.9
226,2015-09-24 00:00:00.000,3,22,1,699
227,2015-04-08 00:00:00.000,28,16,1,999
228,2015-01-19 00:00:00.000,26,25,1,599
228,2015-01-19 00:00:00.000,26,110,1,49.9
229,2015-06-04 00:00:00.000,27,25,1,599
229,2015-06-04 00:00:00.000,27,99,1,1199
230,2015-09-16 00:00:00.000,21,36,1,39.9
230,2015-09-16 00:00:00.000,21,105,1,119.9
231,2015-12-21 00:00:00.000,22,41,1,44.9
232,2015-10-15 00:00:00.000,16,65,1,2999
232,2015-10-15 00:00:00.000,16,67,1,3190
233,2015-03-24 00:00:00.000,13,96,1,1999
234,2015-08-25 00:00:00.000,27,108,1,69.9
235,2015-10-29 00:00:00.000,4,53,1,999
236,2015-07-14 00:00:00.000,24,32,1,3099
237,2015-08-19 00:00:00.000,25,35,1,2499
237,2015-08-19 00:00:00.000,25,109,1,79.9
238,2015-11-23 00:00:00.000,34,63,1,3699
239,2015-11-19 00:00:00.000,24,20,1,999
240,2015-10-27 00:00:00.000,34,37,1,74.9
241,2015-11-04 00:00:00.000,13,21,1,1399
241,2015-11-04 00:00:00.000,13,101,1,2399
242,2015-10-17 00:00:00.000,31,1,1,869
243,2015-10-23 00:00:00.000,14,89,1,9999
244,2015-06-10 00:00:00.000,10,3,1,1299
244,2015-06-10 00:00:00.000,10,44,1,399
245,2015-09-30 00:00:00.000,28,44,1,399
245,2015-09-30 00:00:00.000,28,81,1,799
246,2015-06-26 00:00:00.000,26,38,1,54.9
246,2015-06-26 00:00:00.000,26,66,1,3199
247,2015-05-30 00:00:00.000,22,37,1,74.9
248,2015-03-04 00:00:00.000,31,90,1,11499
249,2015-03-02 00:00:00.000,14,67,1,3190
250,2015-05-06 00:00:00.000,13,43,1,24.9
250,2015-05-06 00:00:00.000,13,57,1,699
251,2015-02-03 00:00:00.000,19,70,1,3399
251,2015-02-03 00:00:00.000,19,71,1,3699
252,2015-01-15 00:00:00.000,19,5,1,1899
252,2015-01-15 00:00:00.000,19,111,1,219
253,2015-03-15 00:00:00.000,23,54,1,399
253,2015-03-15 00:00:00.000,23,101,1,2399
254,2015-02-20 00:00:00.000,28,50,1,349
254,2015-02-20 00:00:00.000,28,79,1,979
255,2015-06-24 00:00:00.000,13,103,1,2599
256,2015-04-17 00:00:00.000,24,53,1,999
256,2015-04-17 00:00:00.000,24,73,1,3999
257,2015-02-13 00:00:00.000,6,4,1,1599
257,2015-02-13 00:00:00.000,6,94,1,849
258,2015-02-28 00:00:00.000,2,13,1,1899
258,2015-02-28 00:00:00.000,2,79,1,979
259,2015-02-10 00:00:00.000,35,93,1,899
260,2015-11-15 00:00:00.000,35,19,1,999
260,2015-11-15 00:00:00.000,35,40,1,29.9
261,2015-07-16 00:00:00.000,4,69,1,2200
262,2015-06-18 00:00:00.000,17,88,1,7999
263,2015-12-30 00:00:00.000,21,69,1,2200
263,2015-12-30 00:00:00.000,21,71,1,3699
264,2015-10-21 00:00:00.000,22,38,1,54.9
264,2015-10-21 00:00:00.000,22,97,1,399
265,2015-11-16 00:00:00.000,7,17,1,1099
266,2015-09-21 00:00:00.000,32,3,1,1299
267,2015-06-03 00:00:00.000,16,21,1,1399
268,2015-06-15 00:00:00.000,7,9,1,849
268,2015-06-15 00:00:00.000,7,58,1,329
269,2015-03-24 00:00:00.000,32,14,1,1099
269,2015-03-24 00:00:00.000,32,25,1,599
270,2015-04-18 00:00:00.000,26,92,1,899
270,2015-04-18 00:00:00.000,26,105,1,119.9
271,2015-10-18 00:00:00.000,26,54,1,399
272,2015-04-18 00:00:00.000,12,101,1,2399
273,2015-10-07 00:00:00.000,31,1,1,869
273,2015-10-07 00:00:00.000,31,79,1,979
274,2015-03-10 00:00:00.000,10,18,1,1199
275,2015-06-28 00:00:00.000,24,104,1,2150
276,2015-11-21 00:00:00.000,23,37,1,74.9
276,2015-11-21 00:00:00.000,23,38,1,54.9
277,2015-04-16 00:00:00.000,11,24,1,1099
277,2015-04-16 00:00:00.000,11,82,1,429
278,2015-09-27 00:00:00.000,10,78,1,549
279,2015-09-05 00:00:00.000,32,15,1,1349
279,2015-09-05 00:00:00.000,32,33,1,4599
280,2015-12-18 00:00:00.000,30,86,1,499
280,2015-12-18 00:00:00.000,30,99,1,1199
281,2015-08-04 00:00:00.000,29,10,1,749
282,2015-11-22 00:00:00.000,19,90,1,11499
283,2015-12-12 00:00:00.000,35,6,1,1799
284,2015-07-25 00:00:00.000,4,46,1,119
284,2015-07-25 00:00:00.000,4,62,1,499
285,2015-06-25 00:00:00.000,27,107,1,99.9
286,2015-03-13 00:00:00.000,30,88,1,7999
287,2015-04-19 00:00:00.000,23,73,1,3999
288,2015-04-04 00:00:00.000,19,54,1,399
288,2015-04-04 00:00:00.000,19,55,1,349
289,2015-11-10 00:00:00.000,28,40,1,29.9
289,2015-11-10 00:00:00.000,28,99,1,1199
290,2015-12-07 00:00:00.000,9,41,1,44.9
291,2015-02-19 00:00:00.000,29,73,1,3999
292,2015-10-25 00:00:00.000,35,20,1,999
292,2015-10-25 00:00:00.000,35,70,1,3399
293,2015-12-03 00:00:00.000,33,76,1,6499
294,2015-12-26 00:00:00.000,34,13,1,1899
294,2015-12-26 00:00:00.000,34,40,1,29.9
295,2015-10-16 00:00:00.000,33,54,1,399
296,2015-09-20 00:00:00.000,27,110,1,49.9
297,2015-03-04 00:00:00.000,28,20,1,999
297,2015-03-04 00:00:00.000,28,30,1,699
298,2015-02-02 00:00:00.000,6,18,1,1199
299,2015-05-18 00:00:00.000,14,105,1,119.9
300,2015-09-28 00:00:00.000,5,48,1,449
300,2015-09-28 00:00:00.000,5,104,1,2150
301,2015-08-04 00:00:00.000,15,90,1,11499
301,2015-08-04 00:00:00.000,15,108,1,69.9
302,2015-05-03 00:00:00.000,22,14,1,1099
302,2015-05-03 00:00:00.000,22,110,1,49.9
303,2015-02-17 00:00:00.000,22,2,1,1399
303,2015-02-17 00:00:00.000,22,29,1,299
304,2015-10-01 00:00:00.000,33,43,1,24.9
305,2015-07-24 00:00:00.000,3,59,1,329
306,2015-02-19 00:00:00.000,4,57,1,699
306,2015-02-19 00:00:00.000,4,69,1,2200
307,2015-07-18 00:00:00.000,23,46,1,119
308,2015-11-22 00:00:00.000,7,53,1,999
309,2015-07-14 00:00:00.000,27,56,1,599
310,2015-04-08 00:00:00.000,7,41,1,44.9
310,2015-04-08 00:00:00.000,7,89,1,9999
311,2015-01-17 00:00:00.000,28,60,1,589
311,2015-01-17 00:00:00.000,28,95,1,1199
312,2015-10-31 00:00:00.000,8,11,1,1149
312,2015-10-31 00:00:00.000,8,66,1,3199
313,2015-07-08 00:00:00.000,18,3,1,1299
313,2015-07-08 00:00:00.000,18,94,1,849
314,2015-01-14 00:00:00.000,35,70,1,3399
314,2015-01-14 00:00:00.000,35,93,1,899
315,2015-01-31 00:00:00.000,3,11,1,1149
315,2015-01-31 00:00:00.000,3,51,1,449
316,2015-07-17 00:00:00.000,19,5,1,1899
316,2015-07-17 00:00:00.000,19,19,1,999
317,2015-01-18 00:00:00.000,28,43,1,24.9
317,2015-01-18 00:00:00.000,28,52,1,1999
318,2015-05-22 00:00:00.000,1,31,1,1599
318,2015-05-22 00:00:00.000,1,33,1,4599
319,2015-01-28 00:00:00.000,29,39,1,32.9
320,2015-01-26 00:00:00.000,17,83,1,479
320,2015-01-26 00:00:00.000,17,113,1,49.9
321,2015-06-14 00:00:00.000,10,80,1,549
321,2015-06-14 00:00:00.000,10,89,1,9999
322,2015-01-15 00:00:00.000,26,72,1,2099
322,2015-01-15 00:00:00.000,26,88,1,7999
323,2015-10-25 00:00:00.000,16,25,1,599
323,2015-10-25 00:00:00.000,16,27,1,429
324,2015-11-12 00:00:00.000,16,81,1,799
324,2015-11-12 00:00:00.000,16,99,1,1199
325,2015-04-22 00:00:00.000,22,55,1,349
325,2015-04-22 00:00:00.000,22,69,1,2200
326,2015-10-27 00:00:00.000,22,16,1,999
326,2015-10-27 00:00:00.000,22,31,1,1599
327,2015-04-19 00:00:00.000,10,29,1,299
327,2015-04-19 00:00:00.000,10,85,1,539
328,2015-09-26 00:00:00.000,3,21,1,1399
328,2015-09-26 00:00:00.000,3,59,1,329
329,2015-12-01 00:00:00.000,7,35,1,2499
329,2015-12-01 00:00:00.000,7,89,1,9999
330,2015-03-04 00:00:00.000,20,68,1,2999
330,2015-03-04 00:00:00.000,20,94,1,849
331,2015-03-06 00:00:00.000,20,21,1,1399
331,2015-03-06 00:00:00.000,20,35,1,2499
332,2015-05-10 00:00:00.000,14,99,1,1199
333,2015-07-02 00:00:00.000,7,7,1,1899
333,2015-07-02 00:00:00.000,7,18,1,1199
334,2015-04-25 00:00:00.000,14,100,1,4499
335,2015-04-21 00:00:00.000,31,30,1,699
336,2015-02-02 00:00:00.000,3,18,1,1199
337,2015-03-26 00:00:00.000,24,65,1,2999
338,2015-05-11 00:00:00.000,23,1,1,869
338,2015-05-11 00:00:00.000,23,33,1,4599
339,2015-06-16 00:00:00.000,30,49,1,739
340,2015-06-15 00:00:00.000,10,59,1,329
341,2015-03-26 00:00:00.000,30,49,1,739
342,2015-01-29 00:00:00.000,27,41,1,44.9
343,2015-03-10 00:00:00.000,2,52,1,1999
343,2015-03-10 00:00:00.000,2,71,1,3699
344,2015-07-15 00:00:00.000,8,35,1,2499
345,2015-05-31 00:00:00.000,26,31,1,1599
345,2015-05-31 00:00:00.000,26,54,1,399
346,2015-08-25 00:00:00.000,26,109,1,79.9
347,2015-11-01 00:00:00.000,15,8,1,649
347,2015-11-01 00:00:00.000,15,17,1,1099
348,2015-12-25 00:00:00.000,21,58,1,329
348,2015-12-25 00:00:00.000,21,97,1,399
349,2015-03-09 00:00:00.000,12,65,1,2999
350,2015-10-31 00:00:00.000,16,84,1,429
351,2015-05-12 00:00:00.000,31,78,1,549
352,2015-06-02 00:00:00.000,20,112,1,139
353,2015-08-08 00:00:00.000,19,16,1,999
354,2015-02-13 00:00:00.000,31,17,1,1099
354,2015-02-13 00:00:00.000,31,97,1,399
355,2015-04-18 00:00:00.000,32,86,1,499
355,2015-04-18 00:00:00.000,32,99,1,1199
356,2015-06-24 00:00:00.000,32,36,1,39.9
356,2015-06-24 00:00:00.000,32,97,1,399
357,2015-08-25 00:00:00.000,8,62,1,499
358,2015-02-02 00:00:00.000,27,68,1,2999
358,2015-02-02 00:00:00.000,27,103,1,2599
359,2015-12-04 00:00:00.000,3,89,1,9999
360,2015-12-14 00:00:00.000,19,33,1,4599
360,2015-12-14 00:00:00.000,19,83,1,479
